UTS,YS,C,Mn,Si,S,P,Cr,Ni,Mo
581.3,299.8,0.049,0.927,1.266,0.01,0.04,18.261,8.083,0.229
572.7,270.4,0.054,0.921,1.243,0.01,0.04,18.238,8.236,0.264
572.7,270.4,0.054,0.921,1.243,0.01,0.04,18.238,8.236,0.264
566.7,262.1,0.048,0.921,1.24,0.01,0.04,18.219,8.132,0.112
566.7,262.1,0.048,0.921,1.24,0.01,0.04,18.219,8.132,0.112
568.9,268.4,0.048,0.926,1.258,0.01,0.04,18.234,8.15,0.216
575.1,299.1,0.051,0.921,1.284,0.01,0.04,18.164,8.154,0.245
575.1,299.1,0.051,0.921,1.284,0.01,0.04,18.164,8.154,0.245
568.9,291.4,0.055,0.93,1.254,0.01,0.04,18.221,8.22,0.26
568.9,291.4,0.055,0.93,1.254,0.01,0.04,18.221,8.22,0.26
568.9,291.4,0.055,0.93,1.254,0.01,0.04,18.221,8.22,0.26
569.3,257.7,0.052,0.931,1.239,0.01,0.04,18.224,8.212,0.218
565.1,287.6,0.059,0.925,1.229,0.01,0.04,18.147,8.118,0.238
565.1,287.6,0.059,0.925,1.229,0.01,0.04,18.147,8.118,0.238
570.5,289.1,0.05,0.947,1.275,0.01,0.04,18.29,8.114,0.217
570.5,289.1,0.05,0.947,1.275,0.01,0.04,18.29,8.114,0.217
578.6,292.4,0.047,0.926,1.251,0.01,0.03,18.238,8.117,0.23
580.1,272.1,0.048,0.958,1.245,0.01,0.03,18.27,8.101,0.22
580.1,272.1,0.048,0.958,1.245,0.01,0.03,18.27,8.101,0.22
560.4,275.6,0.048,0.923,1.244,0.01,0.04,18.267,8.164,0.226
560.4,275.6,0.048,0.923,1.244,0.01,0.04,18.267,8.164,0.226
561.3,278.9,0.053,0.9,1.221,0.01,0.04,18.284,8.251,0.222
561.3,278.9,0.053,0.9,1.221,0.01,0.04,18.284,8.251,0.222
565.1,251.7,0.053,0.909,1.277,0.01,0.03,18.133,8.014,0.222
559.3,280.5,0.053,0.851,1.248,0.01,0.04,18.096,8.172,0.25
572.6,290.8,0.051,0.914,1.216,0.01,0.04,18.316,8.225,0.213
